date,judul,username,tweet,plot,akting,direktor
19/08/2022 16:17,the desperate hour,penggores_pena,the desperate hour lakewood 2022 beberapa waktu lalu ada yang bersalah dengan 98 cerita hanya lewat suara telepon dan ber setting ruangan operator 911 ini juga lewat telepon sekitar 94 dan 89 ber setting outdoor terutama hutan tegang banget asli ,1,1,1
05/08/2022 18:19,pursuit,angeldevyoo,ini edisi males review jd singkat aja ya beberapa tontonan liburan saya 19 dp deserter pursuit yg ini emang pantes bgt dpt penghargaan alur cerita plot bahkan aktor mereka bagus kisi kisi filmnya ada di kata wajib militer pembelot dan bully deserve 9 10 ,1,1,0
10/06/2022 15:59,pursuit,lovinasoenmi,plot utama adalah dua orang deserter pursuit atau pemburu wamil junho hoyeol ditugaskan utk memburu para wamil yg kabur dari wajib militer dua karakter ini sangat berbeda junho pendiam dan hoyeol humoris tapi keduanya sama2 menentang kekerasan dlm pendidikan wamil ,1,1,0
07/04/2022 05:53,pursuit,yeobuun, film hereditary horror thrill midsommar gatau ni genre apa plot twist horror pursuit of happyness mengsedih series the women on the window across the street lupa nama judulnya pokoknya panjang gitu midnight mass ajaran sesat snowpiercer apocalypse ,0,0,0
03/03/2022 00:21,pursuit,bebekpakelobe,batman paling manusiawi combatnya juga sadis scene pursuit ma penguin paling plot nya roller coaster banget hihi 9 10 ,1,0,0
09/05/2020 14:15,pursuit,sonweeendy, iyaa aku udah baca itu yaampun sumpa keren parah sih endingnya jg plot twist bgt yg di pursuit of happiness ,1,0,0
09/04/2020 10:33,pursuit,patheticlone, aku kasih judul nya aja liat kebioskop21 com aja ready player one us the purge episode 1 4 green book film tentang rasis the pursuit of happyness shutter island salah satu plot twist terbaik ,1,0,1
20/01/2020 20:18,pursuit,tramadanur,yang memberi ruang terhadap plot twist tersembunyi sulit ditebak perlu diingat ketika sensor tidak merusak bagian penting maka filmnya nendang namun apabila merusak jadinya auto jelek kayak kelas cold pursuit memposisikan sebagai film reuni layaknya film bebas membuat,-1,0,-1
14/01/2020 00:14,pursuit,KeiNicro,tampan tailor nah kalo yg ini disebut sebut mirip the pursuit of happyness sama2 mengusung plot hubungan ayah anak laki2nya dalam keterbatasan keadaannya film yg diperankan vino g bastian ini cukup mengharukan cocok ditonton bersama keluarga ,1,1,0
04/05/2019 18:52,pursuit,kakdeo,62 cold pursuit 2019 jangan berani berani ganggu keluarga liam neeson kalo gak mau berurusan panjang plot balas dendam dengan sentuhan black comedy ini memang terlihat cukup meyakinkan plus dgn candaanya yg absurd 7 10 ,1,0,0
26/02/2019 18:40,pursuit,situkangnonton,cold pursuit mampu membuktikan bahwa ia lebih dari sekadar film action balas dendam tipikal ala liam neeson moland mampu menambahkan sentuhan eksentrik yang mampu mengkomplemen plot action kovensionalnya ,1,1,0
23/02/2019 15:28,pursuit,apreiskagilang,cold pursuit asem gak jelas film tapi menghibur terlalu banyak plot twist,-1,0,0
22/02/2019 21:25,pursuit,mediocranky,cold pursuit ini mayan juga loh padahal gak terlalu berekspektasi tinggi sama film2 liam neeson skrg tapi film ini oke juga bukan oke di plot dan actionnya tapi ,-1,0,0
25/12/2013 17:39,pursuit,Widhayaka,jempol buat tampan tailor walau plot ceritanya mirip pursuit of happiness dan cj7 ,0,1,0
07/04/2013 21:54,pursuit,tea_loop,biarpun secara plot mirip banget sama pursuit of happyness nya will smith tapi keseluruhan tampan tailor ini bagus juga ,-1,1,0
08/09/2022 22:29,pursuit,Cerita_Parapuan,sinopsis film cold pursuit aksi balas dendam seorang ayah yang kehilangan anaknya ,1,0,0
